application_id,customer_email,installer_partner_id,installation_type,system_size_kwp,loan_amount_eur,loan_term_months,application_date,credit_score,annual_income_eur,postal_code,status,data_quality_flags,risk_category,loan_to_income_ratio,processed_at,loan_id,disbursement_date,current_balance_eur,days_past_due,payment_status,last_payment_date,next_payment_due,lms_quality_flags,delinquency_bucket,months_since_disbursement,estimated_remaining_balance
APP001,kunde@example.de,INST_042,solar_pv,8.5,15000,120,2024-11-15,720.0,65000.0,10115,approved,{},Good,0.23076923076923078,2026-01-23 18:55:21.640842+01:00,LN20250310,2025-03-10,24364.0,0.0,current,2025-04-30,2025-05-30,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,24364.0
APP002,customer@email.com,INST_042,solar_battery,12.3,28000,180,2024-11-16,680.0,52000.0,80331,approved,{},Fair,0.5384615384615384,2026-01-23 18:55:21.640842+01:00,LN20250319,2025-03-19,27616.0,0.0,current,2025-05-01,2025-05-31,"{""duplicate_loan_id"": true}",Current,10.0,27616.0
APP003,client@mail.de,INST_091,heat_pump,,18500,144,2024-11-16,750.0,78000.0,50667,approved,{},Excellent,0.23717948717948717,2026-01-23 18:55:21.640842+01:00,LN20250315,2025-03-15,23798.0,0.0,current,2025-04-21,2025-05-21,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,23798.0
APP004,user@domain.com,INST_042,solar_pv,6.2,11200,96,2024-11-17,620.0,45000.0,20095,declined,{},Poor,0.24888888888888888,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,11200.0
APP005,person@web.de,INST_156,solar_pv,9.8,17500,120,2024-11-18,,61000.0,60311,pending,"{""credit_score_out_of_range"": true}",Unknown,0.28688524590163933,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,17500.0
APP006,buyer@provider.com,INST_091,solar_battery,15.0,32000,180,2024-11-19,710.0,85000.0,40210,approved,{},Good,0.3764705882352941,2026-01-23 18:55:21.640842+01:00,LN20250310,2025-03-10,28282.0,5.0,late,2025-04-15,2025-05-15,"{""duplicate_loan_id"": true}",Late,10.0,28282.0
APP007,applicant@email.de,INST_042,heat_pump,,22000,156,2024-11-20,695.0,72000.0,70173,approved,{},Fair,0.3055555555555556,2026-01-23 18:55:21.640842+01:00,LN20250303,2025-03-03,26450.0,0.0,current,2025-03-24,2025-04-23,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,26450.0
APP008,new@customer.com,INST_999,solar_pv,7.5,13800,120,2024-11-21,640.0,48000.0,invalid,pending,"{""invalid_postal_code"": true}",Poor,0.2875,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,13800.0
APP009,test@email.de,INST_156,solar_pv,11.2,19500,144,2024-11-22,780.0,92000.0,01067,approved,{},Excellent,0.21195652173913043,2026-01-23 18:55:21.640842+01:00,LN20250304,2025-03-04,28739.0,0.0,current,2025-04-09,2025-05-09,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,28739.0
APP010,final@test.com,INST_042,solar_battery,0.0,25000,180,2024-11-23,660.0,55000.0,22301,declined,"{""invalid_system_size"": true}",Fair,0.45454545454545453,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,25000.0
APP011,duplicate@email.de,INST_091,solar_pv,9.0,16000,120,2024-11-24,730.0,68000.0,30159,approved,{},Good,0.23529411764705882,2026-01-23 18:55:21.640842+01:00,LN20250331,2025-03-31,19226.0,0.0,current,2025-04-29,2025-05-29,"{""duplicate_loan_id"": true}",Current,10.0,19226.0
APP011,different@email.com,INST_042,heat_pump,,20000,144,2024-11-25,700.0,70000.0,40211,approved,"{""id_duplicate"": true}",Good,0.2857142857142857,2026-01-23 18:55:21.640842+01:00,LN20250331,2025-03-31,19226.0,0.0,current,2025-04-29,2025-05-29,"{""duplicate_loan_id"": true}",Current,10.0,19226.0
APP013,missing.income@test.de,INST_156,solar_pv,8.8,15500,120,2024-11-26,715.0,,59023,approved,{},Good,,2026-01-23 18:55:21.640842+01:00,LN20250310,2025-03-10,21006.0,0.0,current,2025-04-24,2025-05-24,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,21006.0
APP014,negative@amount.com,INST_042,solar_battery,10.5,-5000,180,2024-11-27,680.0,62000.0,80335,pending,"{""negative_loan_amount"": true}",Fair,-0.08064516129032258,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,-5000.0
APP015,high.score@email.de,INST_091,solar_pv,7.2,13000,96,2024-11-28,950.0,58000.0,50668,approved,"{""credit_score_out_of_range"": true}",Excellent,0.22413793103448276,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,13000.0
APP016,low.score@test.com,INST_042,heat_pump,,19000,144,2024-11-29,250.0,55000.0,60313,declined,"{""credit_score_out_of_range"": true}",Poor,0.34545454545454546,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,19000.0
APP017,,INST_156,solar_pv,9.5,17000,120,2024-11-30,725.0,67000.0,10117,pending,"{""email_missing"": true}",Good,0.2537313432835821,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,17000.0
APP018,whitespace@email.de,INST_042,solar_battery,11.8,26500,180,2024-12-01,705.0,75000.0,20099,approved,{},Good,0.35333333333333333,2026-01-23 18:55:21.640842+01:00,LN20250329,2025-03-29,16228.0,0.0,current,2025-05-23,2025-06-22,"{""duplicate_loan_id"": true}",Current,10.0,16228.0
APP019,future@application.com,INST_091,solar_pv,8.3,14500,120,2025-02-15,740.0,63000.0,30161,approved,{},Good,0.23015873015873015,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,14500.0
APP020,very.old@email.de,INST_042,heat_pump,,21000,156,2023-06-10,710.0,72000.0,40212,approved,{},Good,0.2916666666666667,2026-01-23 18:55:21.640842+01:00,LN20250308,2025-03-08,21796.0,0.0,current,2025-04-26,2025-05-26,"{""duplicate_loan_id"": true, ""balance_exceeds_original"": true}",Current,10.0,21796.0
APP021,negative.size@test.com,INST_156,solar_pv,-5.0,15000,120,2024-12-02,695.0,61000.0,50670,pending,"{""invalid_system_size"": true}",Fair,0.2459016393442623,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,15000.0
APP022,huge.loan@email.de,INST_042,solar_battery,20.5,250000,240,2024-12-03,760.0,95000.0,60314,approved,{},Excellent,2.6315789473684212,2026-01-23 18:55:21.640842+01:00,LN20250318,2025-03-18,17796.0,0.0,current,2025-04-15,2025-05-15,"{""duplicate_loan_id"": true}",Current,10.0,17796.0
APP023,zero.income@test.com,INST_091,solar_pv,7.8,14000,96,2024-12-04,720.0,0.0,70174,approved,{},Good,,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,14000.0
APP024,tab	character@email.de,INST_042,heat_pump,,18000,144,2024-12-05,690.0,68000.0,80336,pending,"{""invalid_email_format"": true}",Fair,0.2647058823529412,2026-01-23 18:55:21.640842+01:00,,,,,,,,,Current,,18000.0
APP025,special.chars@tëst.dé,INST_156,solar_pv,9.1,16500,120,2024-12-06,735.0,71000.0,01069,approved,"{""invalid_email_format"": true}",Good,0.2323943661971831,2026-01-23 18:55:21.640842+01:00,LN20250302,,16300.0,0.0,current,2025-03-19,2025-04-19,{},Current,,16300.0
